time_hours,issue,record_idx,biomass,RGR,phenological_stage,biomass_delta
12,negative_RGR,1,0.34661878767879795,-0.00030523100375370773,vegetative,
24,negative_RGR,2,1.0224846924431568,-0.0002744860361779812,vegetative,
36,negative_RGR,3,1.8339946645731493,-0.00024149923459306587,vegetative,
48,negative_RGR,4,2.5824686366688954,-0.00021401558513824007,vegetative,
60,negative_RGR,5,3.2122510080311772,-0.00019189885972485096,vegetative,
72,negative_RGR,6,3.729573128759225,-0.00017456470131036492,vegetative,
84,negative_RGR,7,4.1562831666022,-0.00016122460488458704,vegetative,
96,negative_RGR,8,4.513877180530108,-0.00015706814020409576,vegetative,
108,negative_RGR,9,4.819649759799308,-0.00015925644534866458,vegetative,
120,negative_RGR,10,4.994561341457262,-0.00016107954289989136,vegetative,
132,negative_RGR,11,4.954152564236654,-0.0001625531104005136,dead,
132,negative_RGR,11,4.39128588511304,-0.0001625531104005136,dead,
144,negative_RGR,12,3.8923693759447704,-0.0001625531104005136,dead,
144,negative_RGR,12,3.450137329968596,-0.0001625531104005136,dead,
156,negative_RGR,13,3.0581495346272423,-0.0001625531104005136,dead,
156,negative_RGR,13,2.7106974829393082,-0.0001625531104005136,dead,
168,negative_RGR,14,2.402721240676393,-0.0001625531104005136,dead,
132,negative_biomass_delta,11,4.954152564236654,,dead,-0.041399131642800846
132,negative_biomass_delta,11,4.39128588511304,,dead,-0.5628666791236148
144,negative_biomass_delta,12,3.8923693759447704,,dead,-0.49891650916826924
144,negative_biomass_delta,12,3.450137329968596,,dead,-0.4422320459761746
156,negative_biomass_delta,13,3.0581495346272423,,dead,-0.39198779534135353
156,negative_biomass_delta,13,2.7106974829393082,,dead,-0.347452051687934
168,negative_biomass_delta,14,2.402721240676393,,dead,-0.3079762422629151
